id;szerepnev;muid;hang
180;Dappertutto;16;basszus
181;Miracle;16;basszus
182;Hermann;16;bariton
183;Schlemil;16;bariton
184;Nilakanta;21;bariton
185;Lakmé;21;szoprán
186;Mallika, szolga;21;mezzoszoprán
187;Hadzsi, szolga;21;tenor
188;Gerald angol tiszt;21;tenor
189;Frederic angol tiszt;21;bariton
190;Miss Ellen;21;szoprán
191;Miss Rose;21;mezzoszoprán
192;Mrs. Bentson;21;alt
193;Don Fernando;15;bariton
194;Don Pizarro;15;bariton
195;Florestan;15;tenor
196;Leonora;15;szoprán
197;Rocco;15;basszus
198;Marcellina;15;szoprán
199;Jaquino;15;tenor
200;első fogoly;15;tenor
201;második fogoly;15;basszus
202;Hovanszkij Iván herceg;17;bariton
203;Hovanszkij Andrej herceg;17;tenor
204;Golicin Vaszilij herceg;17;tenor
205;Saklovitij;17;bariton
206;Doszifej;17;basszus
207;Marfa;17;mezzoszoprán
208;Emma;17;szoprán
209;egy írnok;17;tenor
210;Varszonovjev;17;basszus
211;Kuzka;17;bariton
212;első sztrelic;17;basszus
213;második sztrelic;17;basszus
214;Santuzza;25;szoprán
215;Turiddu;25;tenor
216;Lucia;25;alt
217;Alfio;25;bariton
218;Lola;25;mezzoszoprán
219;Heródes Antipas;28;tenor
220;Heródiás;28;mezzoszoprán
221;Salome;28;szoprán
222;Jochanaan;28;bariton
223;Narraboth;28;tenor
224;Heródiás apródja;28;alt
225;két nazarénus;28;tenor
226;két katona;28;basszus
227;egy kappadóciai;28;basszus
228;egy rabszolga;28;mezzoszoprán
229;Hans Sachs;5;bariton
230;Veit Pogner;5;basszus
231;Kunz Vogelgesang;5;tenor
232;Konrad Nachtigall;5;basszus
233;városi írnok;5;bariton
234;Fritz Kothner;5;basszus
235;Balthasar Zorn;5;tenor
236;Ulrich Eisslinger;5;tenor
237;Augustin Moser;5;tenor
238;Hermann Ortel;5;basszus
239;Hans Schwarz;5;basszus
240;Hans Foltz;5;basszus
241;fiatal Frank lovag;5;tenor
242;Dávid;5;tenor
243;Éva;5;szoprán
244;Magdalena;5;mezzoszoprán
245;éjjeli őr;5;basszus
246;Siegmund;8;tenor
247;Hunding;8;basszus
248;Wotan;8;basszus
249;Sieglinde;8;szoprán
250;Brünnhilde;8;szoprán
251;Fricka;8;mezzoszoprán
252;Madarász Henrik;23;basszus
253;Lohengrin;23;tenor
254;Brabanti Elza;23;szoprán
255;Friedrich Von Telramund;23;bariton
256;Ortrud;23;szoprán
257;a király hirdetője;23;bariton
258;Treff király;3;basszus
259;a herceg;3;tenor
260;Clarice hercegnő;3;alt
261;Leander kancellár (Pikk király);3;bariton
262;Truffaldino;3;tenor
263;Pantalon;3;bariton
264;Celio varázsló;3;basszus
265;Fata Morgana varázslónő;3;szoprán
266;Linetta;3;alt
267;Nicoletta;3;mezzoszoprán
268;Ninetta;3;szoprán
269;a szakácsnő;3;basszus
270;Farfarello;3;basszus
271;Smeraldine;3;mezzoszoprán
272;ceremóniamester;3;tenor
273;hírnök;3;basszus
274;Sarastro;7;basszus
275;Tamino;7;tenor
276;öreg pap;7;basszus
277;második pap;7;tenor
278;az éj királynője;7;szoprán
279;Pamina;7;szoprán
280;első hölgy;7;szoprán
281;második hölgy;7;mezzoszoprán
282;harmadik hölgy;7;alt
283;Papageno;7;basszus
284;Papagena;7;szoprán
285;Monostatos;7;tenor
286;első fiú;7;szoprán
287;második fiú;7;mezzoszoprán
288;harmadik fiú;7;alt
289;első őrtálló;7;tenor
290;második őrtálló;7;basszus
291;Don Juan;13;bariton
292;a kormányzó;13;basszus
293;Donna Anna;13;szoprán
294;Don Ottavio;13;tenor
295;Donna Elvira;13;mezzoszoprán
296;Leporello;13;basszus
297;Masetto;13;basszus
298;Zerlina;13;szoprán
299;Don José;31;tenor
300;Escamillo;31;bariton
301;Carmen;31;mezzoszoprán
302;Zuniga;31;basszus
303;Morales;31;bariton
304;Mercedes;31;mezzoszoprán
305;Andrés;31;tenor
