nev	megye
Nagyecsed	Szabolcs-Szatmár-Bereg
Nagyhalász	Szabolcs-Szatmár-Bereg
Nagyigmánd	Komárom-Esztergom
Nagykálló	Szabolcs-Szatmár-Bereg
Nagykanizsa	Zala
Nagykáta	Pest
Nagykovácsi	Pest
Nagykőrös	Pest
Nagymágocs	Csongrád
Nagymányok	Tolna
Nagymaros	Pest
Nagyrábé	Hajdú-Bihar
Nagyszénás	Békés
Nyékládháza	Borsod-Abaúj-Zemplén
Nyergesújfalu	Komárom-Esztergom
Nyírábrány	Hajdú-Bihar
Nyíradony	Hajdú-Bihar
Nyírbátor	Szabolcs-Szatmár-Bereg
Nyírbéltek	Szabolcs-Szatmár-Bereg
Nyírbogát	Szabolcs-Szatmár-Bereg
Nyíregyháza	Szabolcs-Szatmár-Bereg
Nyírlugos	Szabolcs-Szatmár-Bereg
Nyírmada	Szabolcs-Szatmár-Bereg
Nyírtelek	Szabolcs-Szatmár-Bereg
Ócsa	Pest
Onga	Borsod-Abaúj-Zemplén
Orosháza	Békés
Oroszlány	Komárom-Esztergom
Ózd	Borsod-Abaúj-Zemplén
Öcsöd	Jász-Nagykun-Szolnok
Ököritófülpös	Szabolcs-Szatmár-Bereg
Őrbottyán	Pest
Őriszentpéter	Vas
Örkény	Pest
Pacsa	Zala
Paks	Tolna
Pálháza	Borsod-Abaúj-Zemplén
Pannonhalma	Győr-Moson-Sopron
Pápa	Veszprém
Parád	Heves
Pásztó	Nógrád
Pécel	Pest
Pécs	Baranya
Pécsvárad	Baranya
Perkáta	Fejér
Pétervására	Heves
Pétfürdő	Veszprém
Pilis	Pest
Piliscsaba	Pest
Pilisvörösvár	Pest
Pincehely	Tolna
Pocsaj	Hajdú-Bihar
Polgár	Hajdú-Bihar
Polgárdi	Fejér
Pomáz	Pest
Porcsalma	Szabolcs-Szatmár-Bereg
Pusztaszabolcs	Fejér
Putnok	Borsod-Abaúj-Zemplén
Püspökladány	Hajdú-Bihar
Rábaszentandrás	Győr-Moson-Sopron
Rácalmás	Fejér
Ráckeve	Pest
Rakamaz	Szabolcs-Szatmár-Bereg
Rákóczifalva	Jász-Nagykun-Szolnok
Recsk	Heves
Répcelak	Vas
Rétság	Nógrád
Révfülöp	Veszprém
Ricse	Borsod-Abaúj-Zemplén
Rudabánya	Borsod-Abaúj-Zemplén
Sajóbábony	Borsod-Abaúj-Zemplén
Sajószentpéter	Borsod-Abaúj-Zemplén
Salgótarján	Nógrád
Sándorfalva	Csongrád
Sárbogárd	Fejér
Sarkad	Békés
Sárosd	Fejér
Sárospatak	Borsod-Abaúj-Zemplén
Sárrétudvari	Hajdú-Bihar
Sárszentlőrinc	Tolna
Sárvár	Vas
Sásd	Baranya
Sátoraljaújhely	Borsod-Abaúj-Zemplén
Sellye	Baranya
Seregélyes	Fejér
Siklós	Baranya
Simontornya	Tolna
Siófok	Somogy
Solt	Bács-Kiskun
Soltvadkert	Bács-Kiskun
Solymár	Pest
Soponya	Fejér
Sopron	Győr-Moson-Sopron
Sükösd	Bács-Kiskun
Sülysáp	Pest
Sümeg	Veszprém
Szabadbattyán	Fejér
Szabadszállás	Bács-Kiskun
Szany	Győr-Moson-Sopron
Szarvas	Békés
Szászvár	Baranya
Százhalombatta	Pest
Szécsény	Nógrád
Szeged	Csongrád
Szeghalom	Békés
Szegvár	Csongrád
Székesfehérvár	Fejér
Szekszárd	Tolna
Szendrő	Borsod-Abaúj-Zemplén
Szentendre	Pest
Szentes	Csongrád
Szentgotthárd	Vas
Szentistván	Borsod-Abaúj-Zemplén
Szentlőrinc	Baranya
Szerencs	Borsod-Abaúj-Zemplén
Szigethalom	Pest
Szigetszentmiklós	Pest
Szigetvár	Baranya
Szikszó	Borsod-Abaúj-Zemplén
Szirmabesenyő	Borsod-Abaúj-Zemplén
Szob	Pest
Szolnok	Jász-Nagykun-Szolnok
Szombathely	Vas
Tab	Somogy
Taksony	Pest
Taktaharkány	Borsod-Abaúj-Zemplén
Tamási	Tolna
Tápiószecső	Pest
Tápiószele	Pest
Tápiószentmárton	Pest
Tapolca	Veszprém
Tardos	Komárom-Esztergom
Tárnok	Pest
Tarpa	Szabolcs-Szatmár-Bereg
Tát	Komárom-Esztergom
Tata	Komárom-Esztergom
Tatabánya	Komárom-Esztergom
Téglás	Hajdú-Bihar
Telkibánya	Borsod-Abaúj-Zemplén
Tét	Győr-Moson-Sopron
Tihany	Veszprém
Tiszaalpár	Bács-Kiskun
Tiszabecs	Szabolcs-Szatmár-Bereg
Tiszacsege	Hajdú-Bihar
Tiszadob	Szabolcs-Szatmár-Bereg
Tiszaföldvár	Jász-Nagykun-Szolnok
Tiszafüred	Jász-Nagykun-Szolnok
Tiszakécske	Bács-Kiskun
Tiszalök	Szabolcs-Szatmár-Bereg
Tiszalúc	Borsod-Abaúj-Zemplén
Tiszaújváros	Borsod-Abaúj-Zemplén
Tiszavasvári	Szabolcs-Szatmár-Bereg
Tokaj	Borsod-Abaúj-Zemplén
Tokod	Komárom-Esztergom
Tolna	Tolna
Tompa	Bács-Kiskun
Tótkomlós	Békés
Tököl	Pest
Törökbálint	Pest
Törökszentmiklós	Jász-Nagykun-Szolnok
Tura	Pest
Túrkeve	Jász-Nagykun-Szolnok
Tuzsér	Szabolcs-Szatmár-Bereg
Tyukod	Szabolcs-Szatmár-Bereg
Újfehértó	Szabolcs-Szatmár-Bereg
Újkígyós	Békés
Újszász	Jász-Nagykun-Szolnok
Üllő	Pest
Vác	Pest
Vaja	Szabolcs-Szatmár-Bereg
Vajszló	Baranya
Valkó	Pest
Vámospércs	Hajdú-Bihar
Várpalota	Veszprém
Vásárosnamény	Szabolcs-Szatmár-Bereg
Vasvár	Vas
Vecsés	Pest
Velence	Fejér
Vép	Vas
Veresegyház	Pest
Verpelét	Heves
Veszprém	Veszprém
Vésztő	Békés
Villány	Baranya
Visegrád	Pest
Vonyarcvashegy	Zala
Záhony	Szabolcs-Szatmár-Bereg
Zalaegerszeg	Zala
Zalakaros	Zala
Zalalövő	Zala
Zalaszentgrót	Zala
Zamárdi	Somogy
Zámoly	Fejér
Zirc	Veszprém
Zsáka	Hajdú-Bihar
Zsámbék	Pest
