az	ev	tkaz	diakaz	ingyenes
4275	2004	53	26	0
4276	2004	55	26	0
4277	2004	69	26	0
4278	2004	42	26	0
4298	2004	33	120	0
4301	2004	54	120	0
4302	2004	53	120	0
4303	2004	42	120	0
4332	2004	27	394	0
4333	2004	28	394	0
4334	2004	46	394	0
4336	2004	62	394	0
4337	2004	63	394	0
4338	2004	49	394	0
4339	2004	48	394	0
4340	2004	56	394	0
4341	2004	36	394	0
4342	2004	37	394	0
4343	2004	34	394	0
4344	2004	39	394	0
4370	2004	33	18	0
4372	2004	59	18	0
4373	2004	60	18	0
4374	2004	54	18	0
4375	2004	53	18	0
4376	2004	69	18	0
4377	2004	42	18	0
4415	2004	33	29	0
4417	2004	54	29	0
4418	2004	53	29	0
4419	2004	69	29	0
4420	2004	42	29	0
4429	2004	33	8	1
4431	2004	54	8	1
4432	2004	53	8	1
4433	2004	55	8	1
4434	2004	69	8	1
4435	2004	42	8	1
4436	2004	33	13	1
4438	2004	59	13	1
4439	2004	60	13	1
4440	2004	54	13	1
4441	2004	53	13	1
4442	2004	55	13	1
4443	2004	69	13	1
4444	2004	42	13	1
4521	2004	27	309	0
4522	2004	46	309	0
4524	2004	62	309	0
4525	2004	63	309	0
4526	2004	56	309	0
4527	2004	36	309	0
4528	2004	37	309	0
4529	2004	34	309	0
4530	2004	21	309	0
4531	2004	40	309	0
4532	2004	27	396	0
4533	2004	46	396	0
4535	2004	62	396	0
4536	2004	63	396	0
4537	2004	49	396	0
4538	2004	48	396	0
4539	2004	56	396	0
4540	2004	36	396	0
4541	2004	37	396	0
4542	2004	34	396	0
4543	2004	21	396	0
4544	2004	40	396	0
4545	2004	27	306	0
4546	2004	46	306	0
4548	2004	62	306	0
4549	2004	63	306	0
4550	2004	49	306	0
4551	2004	48	306	0
4552	2004	56	306	0
4553	2004	36	306	0
4554	2004	37	306	0
4555	2004	34	306	0
4556	2004	21	306	0
4557	2004	40	306	0
4558	2004	27	417	0
4559	2004	46	417	0
4560	2004	62	417	0
4561	2004	63	417	0
4562	2004	49	417	0
4563	2004	36	417	0
4564	2004	37	417	0
4565	2004	34	417	0
4566	2004	21	417	0
4567	2004	40	417	0
4568	2004	27	340	0
4569	2004	46	340	0
4571	2004	62	340	0
4572	2004	63	340	0
4573	2004	49	340	0
4574	2004	48	340	0
4575	2004	56	340	0
4576	2004	36	340	0
4577	2004	37	340	0
4578	2004	34	340	0
4579	2004	21	340	0
4580	2004	40	340	0
4581	2004	46	401	0
4583	2004	62	401	0
4584	2004	63	401	0
4585	2004	56	401	0
4586	2004	36	401	0
4587	2004	37	401	0
4588	2004	34	401	0
4589	2004	40	401	0
4590	2004	27	398	1
4591	2004	46	398	1
4593	2004	62	398	1
4594	2004	63	398	1
4595	2004	49	398	1
4596	2004	48	398	1
4597	2004	56	398	1
4598	2004	36	398	1
4599	2004	37	398	1
4600	2004	34	398	1
4601	2004	21	398	1
4602	2004	40	398	1
4603	2004	27	406	1
4604	2004	46	406	1
4606	2004	62	406	1
4607	2004	63	406	1
4608	2004	49	406	1
4609	2004	48	406	1
4610	2004	56	406	1
4611	2004	36	406	1
4612	2004	37	406	1
4613	2004	34	406	1
4614	2004	21	406	1
4615	2004	40	406	1
4661	2004	33	118	0
4664	2004	54	118	0
4665	2004	53	118	0
4666	2004	42	118	0
4675	2004	29	244	0
4677	2004	51	244	0
4678	2004	50	244	0
4679	2004	58	244	0
4680	2004	41	244	0
4682	2004	29	250	0
4683	2004	51	250	0
4684	2004	50	250	0
4685	2004	58	250	0
4686	2004	57	250	0
4687	2004	41	250	0
4689	2004	29	181	0
4692	2004	51	181	0
4693	2004	50	181	0
4694	2004	58	181	0
4695	2004	57	181	0
4696	2004	41	181	0
4715	2004	51	222	0
4716	2004	50	222	0
4717	2004	58	222	0
4718	2004	35	222	0
4719	2004	41	222	0
4730	2004	33	127	0
4732	2004	54	127	0
4733	2004	53	127	0
4734	2004	42	127	0
4735	2004	33	25	1
4737	2004	42	25	1
4738	2004	33	7	0
4740	2004	54	7	0
4741	2004	53	7	0
4742	2004	42	7	0
4743	2004	33	100	0
4746	2004	54	100	0
4747	2004	53	100	0
4748	2004	42	100	0
4749	2004	33	24	0
4751	2004	54	24	0
4752	2004	53	24	0
4753	2004	55	24	0
4754	2004	69	24	0
4755	2004	42	24	0
4789	2004	33	128	0
4791	2004	54	128	0
4792	2004	53	128	0
4793	2004	55	128	0
4794	2004	69	128	0
4795	2004	42	128	0
4817	2004	33	105	0
4820	2004	54	105	0
4821	2004	53	105	0
4822	2004	42	105	0
4823	2004	33	106	0
4826	2004	54	106	0
4827	2004	53	106	0
4828	2004	42	106	0
4829	2004	33	97	0
4832	2004	54	97	0
4833	2004	53	97	0
4834	2004	42	97	0
4835	2004	33	125	0
4838	2004	54	125	0
4839	2004	53	125	0
4840	2004	42	125	0
4851	2004	33	22	0
4903	2004	33	116	1
4906	2004	54	116	1
4907	2004	53	116	1
4908	2004	55	116	1
4909	2004	69	116	1
4910	2004	42	116	1
5000	2004	29	152	0
5001	2004	51	152	0
5002	2004	50	152	0
5003	2004	58	152	0
5004	2004	57	152	0
5005	2004	41	152	0
5033	2004	51	249	0
5034	2004	50	249	0
5035	2004	58	249	0
5036	2004	35	249	0
5037	2004	41	249	0
5039	2004	51	155	0
5040	2004	50	155	0
5041	2004	58	155	0
5042	2004	57	155	0
5043	2004	41	155	0
5045	2004	29	153	1
5048	2004	51	153	1
5049	2004	50	153	1
5050	2004	58	153	1
5051	2004	57	153	1
5052	2004	41	153	1
5054	2004	29	225	1
5055	2004	51	225	1
5056	2004	50	225	1
5057	2004	58	225	1
5058	2004	57	225	1
5059	2004	41	225	1
5070	2004	51	203	0
5071	2004	50	203	0
5072	2004	41	203	0
5138	2004	51	271	0
5139	2004	50	271	0
5140	2004	58	271	0
5141	2004	57	271	0
5142	2004	41	271	0
5278	2004	27	353	0
5279	2004	28	353	0
5280	2004	46	353	0
5282	2004	62	353	0
5283	2004	63	353	0
5284	2004	49	353	0
5285	2004	48	353	0
5286	2004	56	353	0
5287	2004	21	353	0
5288	2004	40	353	0
5293	2004	33	101	0
5296	2004	29	246	0
5297	2004	51	246	0
5298	2004	50	246	0
5299	2004	58	246	0
5300	2004	57	246	0
5301	2004	41	246	0
5488	2004	29	201	0
5489	2004	51	201	0
5490	2004	50	201	0
5491	2004	58	201	0
5492	2004	35	201	0
5493	2004	41	201	0
5538	2004	29	261	0
5539	2004	51	261	0
5540	2004	50	261	0
5541	2004	58	261	0
5542	2004	57	261	0
5543	2004	41	261	0
5577	2004	51	251	0
5578	2004	50	251	0
5579	2004	58	251	0
5580	2004	57	251	0
5581	2004	41	251	0
5583	2004	51	242	0
5584	2004	50	242	0
5585	2004	58	242	0
5586	2004	57	242	0
5587	2004	35	242	0
5588	2004	41	242	0
5847	2004	33	27	0
5849	2004	54	27	0
5850	2004	53	27	0
5851	2004	69	27	0
5852	2004	42	27	0
5853	2004	33	32	0
5855	2004	54	32	0
5856	2004	53	32	0
5857	2004	69	32	0
5858	2004	42	32	0
5864	2004	33	126	0
5866	2004	54	126	0
5867	2004	53	126	0
5868	2004	55	126	0
5869	2004	42	126	0
5870	2004	33	284	0
5871	2004	54	284	0
5872	2004	53	284	0
5873	2004	42	284	0
5890	2004	33	12	1
5892	2004	54	12	1
5893	2004	53	12	1
5894	2004	42	12	1
5895	2004	33	15	0
5897	2004	54	15	0
5898	2004	53	15	0
5899	2004	42	15	0
5920	2004	29	196	1
5921	2004	51	196	1
5922	2004	50	196	1
5923	2004	58	196	1
5924	2004	57	196	1
5925	2004	41	196	1
5951	2004	51	278	0
5952	2004	50	278	0
5953	2004	58	278	0
5954	2004	57	278	0
5955	2004	41	278	0
5994	2004	29	232	1
5995	2004	51	232	1
5996	2004	50	232	1
5997	2004	52	232	1
5998	2004	58	232	1
5999	2004	57	232	1
6000	2004	41	232	1
6104	2004	33	9	0
6106	2004	54	9	0
6107	2004	53	9	0
6108	2004	42	9	0
6181	2004	33	115	0
6184	2004	54	115	0
6185	2004	53	115	0
6186	2004	42	115	0
6191	2004	29	191	0
6192	2004	51	191	0
6193	2004	50	191	0
6194	2004	58	191	0
6195	2004	35	191	0
6196	2004	41	191	0
6198	2004	29	239	0
6199	2004	51	239	0
6200	2004	50	239	0
6201	2004	58	239	0
6202	2004	35	239	0
6203	2004	41	239	0
6237	2004	29	240	1
6238	2004	51	240	1
6239	2004	50	240	1
6240	2004	58	240	1
6241	2004	35	240	1
6242	2004	41	240	1
6282	2004	29	226	1
6283	2004	51	226	1
6284	2004	50	226	1
6285	2004	58	226	1
6286	2004	35	226	1
6287	2004	41	226	1
6288	2004	33	123	0
6291	2004	54	123	0
6292	2004	53	123	0
6293	2004	42	123	0
6357	2004	33	4	0
6359	2004	54	4	0
6360	2004	53	4	0
6361	2004	69	4	0
6362	2004	42	4	0
6377	2004	33	109	0
6380	2004	54	109	0
6381	2004	53	109	0
6382	2004	42	109	0
6405	2004	33	10	0
6407	2004	59	10	0
6408	2004	60	10	0
6409	2004	54	10	0
6410	2004	53	10	0
6411	2004	55	10	0
6412	2004	42	10	0
6413	2004	33	30	0
6415	2004	54	30	0
6416	2004	53	30	0
6417	2004	42	30	0
6451	2004	29	275	0
6452	2004	51	275	0
6453	2004	50	275	0
6454	2004	58	275	0
6455	2004	35	275	0
6456	2004	41	275	0
6457	2004	33	19	0
6459	2004	54	19	0
6460	2004	53	19	0
6461	2004	55	19	0
6462	2004	69	19	0
6463	2004	42	19	0
6487	2004	27	313	0
6488	2004	28	313	0
6489	2004	46	313	0
6491	2004	62	313	0
6492	2004	63	313	0
6493	2004	49	313	0
6494	2004	48	313	0
6495	2004	56	313	0
6496	2004	21	313	0
6497	2004	40	313	0
6498	2004	33	119	0
6500	2004	54	119	0
6501	2004	53	119	0
6502	2004	42	119	0
6526	2004	27	292	1
6527	2004	28	292	1
6528	2004	46	292	1
6530	2004	62	292	1
6531	2004	63	292	1
6532	2004	49	292	1
6533	2004	48	292	1
6534	2004	56	292	1
6535	2004	21	292	1
6536	2004	40	292	1
6538	2004	29	159	0
6539	2004	51	159	0
6540	2004	50	159	0
6541	2004	58	159	0
6542	2004	35	159	0
6543	2004	41	159	0
6588	2004	27	409	0
6590	2004	62	409	0
6591	2004	63	409	0
6592	2004	56	409	0
6593	2004	21	409	0
6594	2004	39	409	0
6615	2004	27	415	1
6616	2004	28	415	1
6621	2004	46	415	1
6623	2004	62	415	1
6624	2004	63	415	1
6625	2004	49	415	1
6626	2004	48	415	1
6627	2004	56	415	1
6628	2004	36	415	1
6629	2004	37	415	1
6630	2004	34	415	1
6631	2004	21	415	1
6632	2004	39	415	1
6647	2004	27	377	1
6648	2004	28	377	1
6649	2004	46	377	1
6651	2004	62	377	1
6652	2004	63	377	1
6653	2004	49	377	1
6654	2004	48	377	1
6655	2004	56	377	1
6656	2004	36	377	1
6657	2004	37	377	1
6658	2004	34	377	1
6659	2004	21	377	1
6660	2004	39	377	1
6661	2004	27	312	0
6662	2004	28	312	0
6663	2004	46	312	0
6665	2004	62	312	0
6666	2004	63	312	0
6667	2004	49	312	0
6668	2004	48	312	0
6669	2004	56	312	0
6670	2004	36	312	0
6671	2004	37	312	0
6672	2004	34	312	0
6673	2004	39	312	0
6674	2004	27	376	0
6675	2004	28	376	0
6676	2004	46	376	0
6678	2004	62	376	0
6679	2004	63	376	0
6680	2004	49	376	0
6681	2004	48	376	0
6682	2004	56	376	0
6683	2004	36	376	0
6684	2004	37	376	0
6685	2004	34	376	0
6686	2004	39	376	0
6696	2004	27	411	1
6697	2004	28	411	1
6698	2004	46	411	1
6700	2004	62	411	1
6701	2004	63	411	1
6702	2004	49	411	1
6703	2004	48	411	1
6704	2004	56	411	1
6705	2004	36	411	1
6706	2004	37	411	1
6707	2004	34	411	1
6708	2004	21	411	1
6709	2004	39	411	1
6710	2004	27	368	1
6711	2004	28	368	1
6712	2004	46	368	1
6714	2004	62	368	1
6715	2004	63	368	1
6716	2004	49	368	1
6717	2004	48	368	1
6718	2004	56	368	1
6719	2004	36	368	1
6720	2004	37	368	1
6721	2004	34	368	1
6722	2004	21	368	1
6723	2004	39	368	1
6724	2004	27	297	1
6725	2004	28	297	1
6728	2004	46	297	1
6730	2004	62	297	1
6731	2004	63	297	1
6732	2004	49	297	1
6733	2004	48	297	1
6734	2004	56	297	1
6735	2004	36	297	1
6736	2004	37	297	1
6737	2004	34	297	1
6738	2004	39	297	1
6739	2004	27	332	0
6740	2004	28	332	0
6741	2004	46	332	0
6743	2004	62	332	0
6744	2004	63	332	0
6745	2004	49	332	0
6746	2004	48	332	0
6747	2004	56	332	0
6748	2004	36	332	0
6749	2004	37	332	0
6750	2004	34	332	0
6751	2004	39	332	0
6752	2004	27	410	0
6753	2004	28	410	0
6754	2004	46	410	0
6756	2004	62	410	0
6757	2004	63	410	0
6758	2004	49	410	0
6759	2004	48	410	0
6760	2004	56	410	0
6761	2004	36	410	0
6762	2004	37	410	0
6763	2004	34	410	0
6764	2004	21	410	0
6765	2004	39	410	0
6766	2004	27	391	0
6767	2004	28	391	0
6768	2004	46	391	0
6770	2004	62	391	0
6771	2004	63	391	0
6772	2004	49	391	0
6773	2004	48	391	0
6774	2004	56	391	0
6775	2004	36	391	0
6776	2004	37	391	0
6777	2004	34	391	0
6778	2004	39	391	0
6779	2004	27	374	0
6780	2004	28	374	0
6781	2004	46	374	0
6783	2004	62	374	0
6784	2004	63	374	0
6785	2004	49	374	0
6786	2004	48	374	0
6787	2004	56	374	0
6788	2004	36	374	0
6789	2004	37	374	0
6790	2004	34	374	0
6791	2004	39	374	0
6792	2004	27	335	0
6793	2004	28	335	0
6794	2004	46	335	0
6796	2004	62	335	0
6797	2004	63	335	0
6798	2004	49	335	0
6799	2004	48	335	0
6800	2004	56	335	0
6801	2004	36	335	0
6802	2004	37	335	0
6803	2004	34	335	0
6804	2004	39	335	0
6805	2004	27	412	0
6806	2004	28	412	0
6807	2004	46	412	0
6809	2004	62	412	0
6810	2004	63	412	0
6811	2004	49	412	0
6812	2004	48	412	0
6813	2004	56	412	0
6814	2004	36	412	0
6815	2004	37	412	0
6816	2004	34	412	0
6817	2004	39	412	0
6818	2004	27	341	1
6819	2004	28	341	1
6820	2004	46	341	1
6822	2004	62	341	1
6823	2004	63	341	1
6824	2004	49	341	1
6825	2004	48	341	1
6826	2004	56	341	1
6827	2004	36	341	1
6828	2004	37	341	1
6829	2004	34	341	1
6830	2004	21	341	1
6831	2004	39	341	1
6832	2004	27	330	0
6833	2004	28	330	0
6836	2004	46	330	0
6838	2004	62	330	0
6839	2004	63	330	0
6840	2004	49	330	0
6841	2004	48	330	0
6842	2004	56	330	0
6843	2004	36	330	0
6844	2004	37	330	0
6845	2004	34	330	0
6846	2004	39	330	0
6847	2004	27	416	0
6848	2004	28	416	0
6851	2004	46	416	0
6853	2004	62	416	0
6854	2004	63	416	0
6855	2004	49	416	0
6856	2004	48	416	0
6857	2004	56	416	0
6858	2004	36	416	0
6859	2004	37	416	0
6860	2004	34	416	0
6861	2004	39	416	0
6862	2004	27	333	1
6863	2004	28	333	1
6864	2004	46	333	1
6866	2004	62	333	1
6867	2004	63	333	1
6868	2004	49	333	1
6869	2004	48	333	1
6870	2004	56	333	1
6871	2004	36	333	1
6872	2004	37	333	1
6873	2004	34	333	1
6874	2004	39	333	1
6875	2004	27	367	0
6876	2004	28	367	0
6877	2004	46	367	0
6879	2004	62	367	0
6880	2004	63	367	0
6881	2004	49	367	0
6882	2004	48	367	0
6883	2004	56	367	0
6884	2004	36	367	0
6885	2004	37	367	0
6886	2004	34	367	0
6887	2004	39	367	0
6888	2004	27	323	1
6889	2004	28	323	1
6890	2004	46	323	1
6892	2004	62	323	1
6893	2004	63	323	1
6894	2004	49	323	1
6895	2004	48	323	1
6896	2004	56	323	1
6897	2004	36	323	1
6898	2004	37	323	1
6899	2004	34	323	1
6900	2004	21	323	1
6901	2004	39	323	1
6933	2004	27	418	0
6934	2004	28	418	0
6935	2004	46	418	0
6937	2004	62	418	0
6938	2004	63	418	0
6939	2004	49	418	0
6940	2004	48	418	0
6941	2004	56	418	0
6942	2004	36	418	0
6943	2004	37	418	0
6944	2004	34	418	0
6945	2004	39	418	0
6946	2004	27	345	0
6947	2004	28	345	0
6948	2004	46	345	0
6950	2004	62	345	0
6951	2004	63	345	0
6952	2004	56	345	0
6953	2004	36	345	0
6954	2004	37	345	0
6955	2004	34	345	0
6956	2004	39	345	0
7005	2004	51	151	0
7006	2004	50	151	0
7007	2004	58	151	0
7008	2004	57	151	0
7009	2004	41	151	0
7026	2004	33	104	0
7029	2004	54	104	0
7030	2004	53	104	0
7031	2004	55	104	0
7032	2004	69	104	0
7033	2004	42	104	0
7041	2004	29	282	0
7042	2004	52	282	0
7043	2004	58	282	0
7044	2004	35	282	0
7045	2004	41	282	0
7102	2004	20	178	0
7103	2004	29	178	0
7104	2004	51	178	0
7105	2004	50	178	0
7106	2004	58	178	0
7107	2004	35	178	0
7108	2004	41	178	0
7142	2004	29	219	0
7143	2004	51	219	0
7144	2004	50	219	0
7145	2004	58	219	0
7146	2004	57	219	0
7147	2004	41	219	0
7149	2004	29	147	0
7150	2004	51	147	0
7151	2004	50	147	0
7152	2004	52	147	0
7153	2004	58	147	0
7154	2004	57	147	0
7155	2004	41	147	0
7242	2004	29	146	0
7243	2004	51	146	0
7244	2004	50	146	0
7245	2004	58	146	0
7246	2004	57	146	0
7247	2004	41	146	0
7305	2004	29	182	0
7306	2004	58	182	0
7307	2004	57	182	0
7309	2004	58	150	1
7310	2004	57	150	1
7397	2004	29	192	0
7398	2004	51	192	0
7399	2004	50	192	0
7400	2004	58	192	0
7401	2004	35	192	0
7402	2004	41	192	0
7403	2004	33	124	1
7406	2004	54	124	1
7407	2004	53	124	1
7408	2004	69	124	1
7409	2004	42	124	1
7419	2004	33	122	0
7420	2004	69	122	0
7440	2004	29	236	0
7441	2004	51	236	0
7442	2004	50	236	0
7443	2004	58	236	0
7444	2004	35	236	0
7445	2004	41	236	0
7470	2004	51	180	0
7471	2004	50	180	0
7472	2004	52	180	0
7473	2004	58	180	0
7474	2004	57	180	0
7475	2004	41	180	0
7476	2004	27	302	0
7477	2004	28	302	0
7478	2004	46	302	0
7480	2004	62	302	0
7481	2004	63	302	0
7482	2004	48	302	0
7483	2004	56	302	0
7484	2004	36	302	0
7485	2004	37	302	0
7486	2004	34	302	0
7487	2004	21	302	0
7554	2004	15	522	0
7555	2004	11	522	0
7556	2004	10	522	0
7557	2004	12	522	0
7558	2004	22	522	0
7559	2004	23	522	0
7560	2004	61	522	0
7561	2004	17	522	0
7562	2004	16	522	0
7563	2004	18	522	0
7564	2004	19	522	0
7565	2004	36	522	0
7566	2004	37	522	0
7567	2004	4	522	0
7569	2004	8	522	0
7570	2004	3	522	0
7571	2004	2	522	0
7572	2004	9	522	0
7573	2004	5	522	0
7575	2004	15	576	0
7576	2004	11	576	0
7577	2004	10	576	0
7578	2004	12	576	0
7579	2004	22	576	0
7580	2004	23	576	0
7581	2004	61	576	0
7582	2004	17	576	0
7583	2004	16	576	0
7584	2004	18	576	0
7585	2004	19	576	0
7586	2004	4	576	0
7588	2004	8	576	0
7589	2004	38	576	0
7590	2004	3	576	0
7591	2004	9	576	0
7592	2004	5	576	0
7680	2004	13	577	0
7682	2004	11	577	0
7683	2004	10	577	0
7684	2004	12	577	0
7685	2004	22	577	0
7686	2004	23	577	0
7687	2004	61	577	0
7690	2004	17	577	0
7691	2004	16	577	0
7692	2004	18	577	0
7693	2004	19	577	0
7694	2004	36	577	0
7695	2004	37	577	0
7696	2004	4	577	0
7698	2004	8	577	0
7699	2004	3	577	0
7700	2004	2	577	0
7701	2004	9	577	0
7702	2004	5	577	0
7703	2004	13	573	0
7705	2004	11	573	0
7706	2004	10	573	0
7707	2004	12	573	0
7708	2004	22	573	0
7709	2004	23	573	0
7710	2004	61	573	0
7711	2004	17	573	0
7712	2004	16	573	0
7713	2004	18	573	0
7714	2004	19	573	0
7715	2004	36	573	0
7716	2004	37	573	0
7717	2004	4	573	0
7719	2004	8	573	0
7720	2004	3	573	0
7721	2004	2	573	0
7722	2004	21	573	0
7723	2004	9	573	0
7724	2004	5	573	0
7747	2004	13	563	0
7749	2004	11	563	0
7750	2004	22	563	0
7751	2004	23	563	0
7752	2004	17	563	0
7753	2004	16	563	0
7754	2004	18	563	0
7755	2004	19	563	0
7756	2004	36	563	0
7757	2004	37	563	0
7758	2004	3	563	0
7759	2004	2	563	0
